,center,steering
1,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_43_670.jpg,0.0
10,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_44_274.jpg,0.0
12,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_44_413.jpg,-0.05
13,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_44_485.jpg,-0.25
14,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_44_558.jpg,-0.4
15,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_44_627.jpg,-0.5354305
16,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_44_697.jpg,-0.43196190000000007
17,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_44_769.jpg,-0.19095710000000002
18,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_44_839.jpg,-0.006139816
22,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_45_120.jpg,-0.05
23,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_45_190.jpg,-0.25
24,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_45_261.jpg,-0.4176539000000001
25,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_45_333.jpg,-0.148133
28,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_45_555.jpg,-0.15
29,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_45_622.jpg,-0.2039619
31,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_45_768.jpg,-0.1
32,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_45_841.jpg,-0.25
33,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_45_913.jpg,-0.2899932
34,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_45_984.jpg,-0.04874708
35,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_46_053.jpg,-0.1987471
36,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_46_127.jpg,-0.39874709999999997
37,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_46_201.jpg,-0.5835459
38,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_46_273.jpg,-0.33470059999999996
39,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_46_346.jpg,-0.09781816
40,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_46_582.jpg,-0.45
41,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_46_648.jpg,-0.6500001
42,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_46_718.jpg,-0.8377869000000001
43,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_46_799.jpg,-0.570669
44,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_46_873.jpg,-0.371641
45,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_46_949.jpg,-0.11844180000000001
46,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_47_022.jpg,0.03825914
47,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_47_090.jpg,0.2382591
48,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_47_161.jpg,0.3882592
49,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_47_287.jpg,0.4069337
50,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_47_354.jpg,0.22462390000000002
51,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_47_421.jpg,0.03269759
53,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_47_565.jpg,-0.05
54,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_47_636.jpg,-0.2
55,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_47_709.jpg,-0.407143
56,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_47_776.jpg,-0.22728920000000002
59,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_47_988.jpg,0.2
60,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_48_057.jpg,0.05533018
62,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_48_203.jpg,0.0
64,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_48_350.jpg,-0.15
65,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_48_417.jpg,-0.3
66,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_48_520.jpg,-0.21398989999999998
67,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_48_587.jpg,-0.01322652
69,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_48_729.jpg,0.0
74,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_49_096.jpg,0.0
75,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_49_167.jpg,0.0
77,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_49_312.jpg,-0.15
78,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_49_387.jpg,-0.3242413
79,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_49_461.jpg,-0.1275066
82,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_49_708.jpg,-0.2
83,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_49_778.jpg,-0.2405379
87,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_50_071.jpg,0.0
88,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_50_144.jpg,-0.2
89,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_50_218.jpg,-0.08249395
92,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_50_459.jpg,-0.05
95,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_50_749.jpg,-0.05
96,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_50_818.jpg,-0.2
97,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_50_893.jpg,-0.27375029999999995
100,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_51_122.jpg,-0.05
